tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
730,74519,104545422,SCANSIII Block 9 Double platform,9_1080_1                                          ,N,,1,46.48652,-8.975674,137107,D,Br,O1,1,1,1,,,,,286,183,,119,124,124,
730,74765,71481196,SCANSIII Block 9 Double platform,9_728_1                                           ,N,,1,46.27886,-11.02032,137091,D,Bl,O1,1,1,1,,,,,300,1050,,119,124,124,
730,74767,71409286,SCANSIII Block 9 Double platform,9_728_1                                           ,P,71416194,2,46.30248,-10.99885,137091,D,Bl,O3,2,2,2,,,,,11,,,119,124,124,
730,74768,71468287,SCANSIII Block 9 Double platform,9_728_1                                           ,P,71404193,2,46.2831,-11.01648,137091,D,Bl,O3,1,1,1,,,,,11,,,119,124,124,
730,74742,72031297,SCANSIII Block 9 Double platform,9_734_1                                           ,Y,72031203,2,46.28814,-10.87818,137091,D,Bl,O3,1,1,1,,,,,8,1415,,119,124,124,
733,75881,GE_216_1_241,CODA Block 2 Double platform,GE_216_1                                          ,N,,2,45.34969,-9.472098,2688,Pr,Bl,O3,1,1,1,,,,,73,5636,,119,124,124,
733,76426,RA_35_1_5954,CODA Block 2 Double platform,RA_35_1                                           ,N,,1,45.37025,-12.73128,2688,Pr,Bl,O1,1,1,1,,,,,280,1400,,119,124,124,
733,76268,RA_43_1_7610,CODA Block 2 Double platform,RA_43_1                                           ,N,,1,45.29665,-13.46519,2688,Pr,Bl,O1,1,1,1,,,,,350,1700,,119,124,124,
733,76269,RA_43_1_7643,CODA Block 2 Double platform,RA_43_1                                           ,N,,1,45.2955,-13.48085,2688,Pr,Bl,O1,1,1,1,,,,,340,1500,,119,124,124,
717,58309,Tracker_TRI-7-8-8,SCANS1994_Block-G_Tridens,TRI_121_804_6                                     ,N,,2,54.2703515625,2.28277790152902,137117,D,BP,O2,,1,,,,,,46,,,119,124,124,
717,58107,Tracker_TRI-7-11-7,SCANS1994_Block-G_Tridens,TRI_176_806_19                                    ,N,,2,55.8438943508136,5.35545141237627,137117,D,BP,O2,,2,,,,,,313,375,,119,124,124,
